day_number|date|season|day_of_week|time_of_day|userId|movieId|location|companions|user_mood|satisfaction_score
5|2025-01-06|Winter|Monday|Afternoon|U0095|M00151|Community Center|Partner|Neutral|0.49
6|2025-01-07|Winter|Tuesday|Night|U0046|M00863|Community Center|Family|Sad|0.45
6|2025-01-07|Winter|Tuesday|Morning|U0056|M00249|Home|Alone|Sad|0.46
6|2025-01-07|Winter|Tuesday|Evening|U0063|M01904|Home|Family|Sad|0.44
6|2025-01-07|Winter|Tuesday|Night|U0076|M02972|Community Center|Group|Happy|0.52
6|2025-01-07|Winter|Tuesday|Night|U0086|M04660|Public Transportation|Family|Neutral|0.59
6|2025-01-07|Winter|Tuesday|Morning|U0088|M02570|Cinema|Group|Neutral|0.47
6|2025-01-07|Winter|Tuesday|Afternoon|U0096|M03306|Cinema|Partner|Sad|0.46
7|2025-01-08|Winter|Wednesday|Morning|U0044|M04892|Community Center|Family|Sad|0.6
7|2025-01-08|Winter|Wednesday|Evening|U0046|M02083|Community Center|Family|Happy|0.49
7|2025-01-08|Winter|Wednesday|Night|U0059|M05559|Community Center|Friends|Neutral|0.4
7|2025-01-08|Winter|Wednesday|Evening|U0066|M04063|Public Transportation|Partner|Happy|0.46
7|2025-01-08|Winter|Wednesday|Afternoon|U0075|M00168|Cinema|Friends|Neutral|0.39
7|2025-01-08|Winter|Wednesday|Morning|U0076|M05484|Workplace|Alone|Happy|0.69
7|2025-01-08|Winter|Wednesday|Afternoon|U0081|M02146|Home|Family|Neutral|0.51
7|2025-01-08|Winter|Wednesday|Afternoon|U0090|M00891|Community Center|Partner|Sad|0.49
8|2025-01-09|Winter|Thursday|Morning|U0024|M00988|Cinema|Group|Sad|0.47
8|2025-01-09|Winter|Thursday|Night|U0028|M01590|Public Transportation|Family|Happy|0.6
8|2025-01-09|Winter|Thursday|Evening|U0042|M00130|Community Center|Family|Sad|0.58
8|2025-01-09|Winter|Thursday|Evening|U0046|M00340|Cinema|Group|Sad|0.45
8|2025-01-09|Winter|Thursday|Evening|U0063|M02142|Community Center|Family|Sad|0.48
8|2025-01-09|Winter|Thursday|Afternoon|U0068|M05162|Cinema|Family|Neutral|0.51
8|2025-01-09|Winter|Thursday|Night|U0070|M04426|Workplace|Group|Neutral|0.61
8|2025-01-09|Winter|Thursday|Night|U0074|M04402|Home|Family|Sad|0.53
8|2025-01-09|Winter|Thursday|Evening|U0076|M03358|Home|Partner|Neutral|0.59
8|2025-01-09|Winter|Thursday|Evening|U0078|M01599|Community Center|Group|Sad|0.45
8|2025-01-09|Winter|Thursday|Morning|U0083|M02156|Workplace|Friends|Happy|0.44
8|2025-01-09|Winter|Thursday|Morning|U0084|M03550|Cinema|Partner|Neutral|0.43
8|2025-01-09|Winter|Thursday|Evening|U0092|M03516|Community Center|Alone|Happy|0.45
9|2025-01-10|Winter|Friday|Morning|U0006|M02721|Home|Family|Happy|0.53
9|2025-01-10|Winter|Friday|Night|U0007|M04038|Home|Alone|Neutral|0.4
9|2025-01-10|Winter|Friday|Afternoon|U0013|M00634|Workplace|Alone|Neutral|0.54
9|2025-01-10|Winter|Friday|Afternoon|U0046|M03532|Workplace|Family|Sad|0.21
9|2025-01-10|Winter|Friday|Night|U0049|M04584|Cinema|Friends|Sad|0.5
9|2025-01-10|Winter|Friday|Evening|U0053|M01428|Community Center|Family|Sad|0.47
9|2025-01-10|Winter|Friday|Afternoon|U0091|M00434|Workplace|Friends|Neutral|0.4
10|2025-01-11|Winter|Saturday|Evening|U0013|M01765|Home|Family|Sad|0.37
10|2025-01-11|Winter|Saturday|Afternoon|U0021|M00212|Workplace|Alone|Happy|0.53
10|2025-01-11|Winter|Saturday|Afternoon|U0023|M04404|Workplace|Family|Sad|0.5
10|2025-01-11|Winter|Saturday|Evening|U0027|M02892|Home|Family|Sad|0.48
10|2025-01-11|Winter|Saturday|Afternoon|U0031|M04526|Workplace|Alone|Happy|0.55
10|2025-01-11|Winter|Saturday|Night|U0042|M01333|Home|Family|Sad|0.58
10|2025-01-11|Winter|Saturday|Evening|U0044|M00348|Workplace|Partner|Happy|0.64
10|2025-01-11|Winter|Saturday|Evening|U0063|M03882|Community Center|Partner|Sad|0.55
10|2025-01-11|Winter|Saturday|Evening|U0064|M02603|Public Transportation|Alone|Neutral|0.5
10|2025-01-11|Winter|Saturday|Afternoon|U0067|M03836|Public Transportation|Group|Sad|0.44
10|2025-01-11|Winter|Saturday|Morning|U0070|M04176|Workplace|Friends|Happy|0.63
10|2025-01-11|Winter|Saturday|Morning|U0074|M03460|Community Center|Partner|Sad|0.46
10|2025-01-11|Winter|Saturday|Evening|U0088|M04113|Public Transportation|Group|Happy|0.37
11|2025-01-12|Winter|Sunday|Afternoon|U0057|M05600|Community Center|Alone|Neutral|0.54
11|2025-01-12|Winter|Sunday|Afternoon|U0059|M00114|Home|Friends|Sad|0.49
11|2025-01-12|Winter|Sunday|Afternoon|U0061|M04010|Community Center|Partner|Neutral|0.51
11|2025-01-12|Winter|Sunday|Evening|U0067|M03472|Cinema|Group|Sad|0.57
11|2025-01-12|Winter|Sunday|Evening|U0069|M00815|Public Transportation|Alone|Neutral|0.6
11|2025-01-12|Winter|Sunday|Night|U0081|M04036|Cinema|Friends|Happy|0.48
12|2025-01-13|Winter|Monday|Night|U0005|M04591|Community Center|Alone|Happy|0.52
12|2025-01-13|Winter|Monday|Afternoon|U0028|M00176|Workplace|Partner|Sad|0.47
12|2025-01-13|Winter|Monday|Afternoon|U0029|M01868|Public Transportation|Family|Happy|0.46
12|2025-01-13|Winter|Monday|Night|U0043|M03584|Public Transportation|Partner|Sad|0.6
12|2025-01-13|Winter|Monday|Afternoon|U0046|M04379|Cinema|Alone|Neutral|0.2
12|2025-01-13|Winter|Monday|Evening|U0063|M02263|Workplace|Family|Sad|0.46
12|2025-01-13|Winter|Monday|Evening|U0072|M00305|Public Transportation|Partner|Neutral|0.38
12|2025-01-13|Winter|Monday|Evening|U0088|M05299|Cinema|Friends|Happy|0.6
12|2025-01-13|Winter|Monday|Morning|U0090|M03520|Community Center|Family|Neutral|0.41
13|2025-01-14|Winter|Tuesday|Morning|U0006|M00025|Cinema|Group|Neutral|0.51
13|2025-01-14|Winter|Tuesday|Night|U0073|M00198|Public Transportation|Family|Sad|0.55
13|2025-01-14|Winter|Tuesday|Morning|U0076|M04596|Community Center|Family|Neutral|0.5
13|2025-01-14|Winter|Tuesday|Evening|U0081|M02851|Cinema|Alone|Sad|0.53
14|2025-01-15|Winter|Wednesday|Evening|U0015|M00276|Cinema|Friends|Neutral|0.72
14|2025-01-15|Winter|Wednesday|Night|U0031|M05615|Home|Alone|Sad|0.5
14|2025-01-15|Winter|Wednesday|Afternoon|U0043|M04539|Public Transportation|Partner|Happy|0.65
14|2025-01-15|Winter|Wednesday|Afternoon|U0049|M02287|Public Transportation|Family|Neutral|0.55
14|2025-01-15|Winter|Wednesday|Morning|U0058|M02483|Workplace|Friends|Happy|0.53
14|2025-01-15|Winter|Wednesday|Evening|U0066|M03081|Home|Friends|Neutral|0.5
14|2025-01-15|Winter|Wednesday|Evening|U0067|M05316|Cinema|Group|Neutral|0.65
14|2025-01-15|Winter|Wednesday|Evening|U0080|M04249|Home|Family|Sad|0.48
14|2025-01-15|Winter|Wednesday|Morning|U0090|M00920|Community Center|Alone|Neutral|0.38
15|2025-01-16|Winter|Thursday|Evening|U0010|M00755|Home|Alone|Neutral|0.6
15|2025-01-16|Winter|Thursday|Morning|U0034|M01159|Community Center|Partner|Happy|0.65
15|2025-01-16|Winter|Thursday|Night|U0038|M04231|Public Transportation|Friends|Happy|0.52
15|2025-01-16|Winter|Thursday|Morning|U0039|M03729|Home|Group|Neutral|0.5
15|2025-01-16|Winter|Thursday|Evening|U0047|M01085|Public Transportation|Group|Sad|0.45
15|2025-01-16|Winter|Thursday|Afternoon|U0048|M02824|Community Center|Family|Happy|0.61
15|2025-01-16|Winter|Thursday|Night|U0062|M01162|Workplace|Alone|Happy|0.8
15|2025-01-16|Winter|Thursday|Afternoon|U0065|M03589|Home|Friends|Neutral|0.76
15|2025-01-16|Winter|Thursday|Afternoon|U0070|M04367|Workplace|Alone|Happy|0.62
15|2025-01-16|Winter|Thursday|Afternoon|U0081|M05406|Cinema|Alone|Sad|0.41
15|2025-01-16|Winter|Thursday|Night|U0093|M03959|Cinema|Partner|Happy|0.59
15|2025-01-16|Winter|Thursday|Morning|U0096|M05127|Public Transportation|Group|Neutral|0.51
16|2025-01-17|Winter|Friday|Night|U0028|M02670|Home|Alone|Neutral|0.6
16|2025-01-17|Winter|Friday|Morning|U0031|M00046|Workplace|Friends|Sad|0.58
16|2025-01-17|Winter|Friday|Evening|U0046|M01232|Community Center|Alone|Neutral|0.38
16|2025-01-17|Winter|Friday|Afternoon|U0048|M00169|Community Center|Family|Sad|0.47
16|2025-01-17|Winter|Friday|Evening|U0050|M02462|Public Transportation|Friends|Sad|0.47
16|2025-01-17|Winter|Friday|Night|U0051|M03039|Public Transportation|Group|Happy|0.41
16|2025-01-17|Winter|Friday|Afternoon|U0065|M02339|Workplace|Family|Happy|0.66
16|2025-01-17|Winter|Friday|Evening|U0066|M03298|Home|Family|Happy|0.68
16|2025-01-17|Winter|Friday|Morning|U0075|M03998|Public Transportation|Alone|Sad|0.3
16|2025-01-17|Winter|Friday|Morning|U0084|M04487|Cinema|Alone|Sad|0.59
16|2025-01-17|Winter|Friday|Morning|U0087|M05474|Workplace|Group|Happy|0.55
16|2025-01-17|Winter|Friday|Morning|U0090|M04785|Community Center|Family|Happy|0.54
16|2025-01-17|Winter|Friday|Evening|U0094|M04147|Workplace|Partner|Sad|0.44
17|2025-01-18|Winter|Saturday|Afternoon|U0008|M01134|Cinema|Friends|Happy|0.75
17|2025-01-18|Winter|Saturday|Evening|U0012|M03676|Community Center|Group|Sad|0.38
17|2025-01-18|Winter|Saturday|Afternoon|U0013|M03497|Home|Friends|Sad|0.47
17|2025-01-18|Winter|Saturday|Morning|U0075|M02323|Home|Alone|Happy|0.57
18|2025-01-19|Winter|Sunday|Morning|U0008|M05084|Cinema|Group|Sad|0.38
18|2025-01-19|Winter|Sunday|Evening|U0014|M03583|Workplace|Friends|Happy|0.43
18|2025-01-19|Winter|Sunday|Night|U0019|M01034|Cinema|Family|Happy|0.39
18|2025-01-19|Winter|Sunday|Morning|U0026|M05325|Public Transportation|Partner|Happy|0.43
18|2025-01-19|Winter|Sunday|Afternoon|U0031|M00315|Workplace|Family|Neutral|0.5
18|2025-01-19|Winter|Sunday|Morning|U0037|M05266|Community Center|Group|Happy|0.64
18|2025-01-19|Winter|Sunday|Night|U0067|M02921|Cinema|Friends|Happy|0.59
18|2025-01-19|Winter|Sunday|Afternoon|U0083|M04579|Community Center|Partner|Happy|0.54
18|2025-01-19|Winter|Sunday|Morning|U0084|M01246|Home|Family|Neutral|0.64
18|2025-01-19|Winter|Sunday|Morning|U0093|M03711|Home|Group|Happy|0.53
19|2025-01-20|Winter|Monday|Night|U0036|M04053|Cinema|Family|Neutral|0.51
19|2025-01-20|Winter|Monday|Afternoon|U0042|M01243|Workplace|Partner|Happy|0.53
19|2025-01-20|Winter|Monday|Evening|U0043|M02214|Community Center|Partner|Happy|0.64
19|2025-01-20|Winter|Monday|Morning|U0056|M04852|Workplace|Group|Neutral|0.34
19|2025-01-20|Winter|Monday|Afternoon|U0063|M04800|Cinema|Partner|Happy|0.56
19|2025-01-20|Winter|Monday|Afternoon|U0064|M02393|Public Transportation|Friends|Neutral|0.59
19|2025-01-20|Winter|Monday|Night|U0075|M00676|Workplace|Partner|Neutral|0.5
19|2025-01-20|Winter|Monday|Afternoon|U0081|M04036|Workplace|Alone|Neutral|0.45
19|2025-01-20|Winter|Monday|Afternoon|U0082|M01385|Cinema|Friends|Happy|0.52
19|2025-01-20|Winter|Monday|Afternoon|U0088|M01033|Public Transportation|Friends|Neutral|0.72
20|2025-01-21|Winter|Tuesday|Afternoon|U0003|M02756|Community Center|Alone|Neutral|0.39
20|2025-01-21|Winter|Tuesday|Night|U0010|M00625|Workplace|Alone|Happy|0.53
20|2025-01-21|Winter|Tuesday|Evening|U0036|M04140|Public Transportation|Alone|Happy|0.4
20|2025-01-21|Winter|Tuesday|Night|U0063|M00840|Community Center|Group|Sad|0.58
20|2025-01-21|Winter|Tuesday|Afternoon|U0081|M03233|Community Center|Family|Sad|0.55
21|2025-01-22|Winter|Wednesday|Afternoon|U0005|M00893|Community Center|Alone|Neutral|0.5
21|2025-01-22|Winter|Wednesday|Afternoon|U0010|M00786|Community Center|Partner|Happy|0.52
21|2025-01-22|Winter|Wednesday|Evening|U0019|M00540|Public Transportation|Friends|Happy|0.41
21|2025-01-22|Winter|Wednesday|Morning|U0044|M00768|Cinema|Friends|Sad|0.45
21|2025-01-22|Winter|Wednesday|Afternoon|U0046|M02689|Cinema|Family|Happy|0.44
21|2025-01-22|Winter|Wednesday|Morning|U0061|M04324|Workplace|Friends|Neutral|0.62
21|2025-01-22|Winter|Wednesday|Night|U0063|M00019|Community Center|Partner|Happy|0.56
21|2025-01-22|Winter|Wednesday|Morning|U0087|M05001|Cinema|Partner|Happy|0.64
22|2025-01-23|Winter|Thursday|Morning|U0006|M04945|Community Center|Family|Neutral|0.53
22|2025-01-23|Winter|Thursday|Afternoon|U0012|M01945|Workplace|Friends|Happy|0.41
22|2025-01-23|Winter|Thursday|Evening|U0014|M05399|Workplace|Friends|Happy|0.64
22|2025-01-23|Winter|Thursday|Morning|U0041|M00025|Home|Partner|Happy|0.54
22|2025-01-23|Winter|Thursday|Morning|U0048|M02455|Cinema|Family|Neutral|0.46
22|2025-01-23|Winter|Thursday|Night|U0070|M03917|Workplace|Friends|Neutral|0.66
22|2025-01-23|Winter|Thursday|Morning|U0088|M02224|Cinema|Friends|Neutral|0.58
23|2025-01-24|Winter|Friday|Night|U0039|M01467|Workplace|Partner|Sad|0.45
23|2025-01-24|Winter|Friday|Afternoon|U0044|M03941|Cinema|Family|Happy|0.74
23|2025-01-24|Winter|Friday|Evening|U0054|M01263|Cinema|Family|Happy|0.62
23|2025-01-24|Winter|Friday|Afternoon|U0057|M02583|Community Center|Friends|Neutral|0.48
23|2025-01-24|Winter|Friday|Night|U0067|M01494|Home|Friends|Happy|0.64
23|2025-01-24|Winter|Friday|Afternoon|U0083|M01786|Workplace|Friends|Happy|0.57
23|2025-01-24|Winter|Friday|Morning|U0084|M05533|Workplace|Family|Neutral|0.56
23|2025-01-24|Winter|Friday|Night|U0095|M02572|Community Center|Group|Neutral|0.39
24|2025-01-25|Winter|Saturday|Morning|U0005|M00350|Community Center|Alone|Sad|0.45
24|2025-01-25|Winter|Saturday|Night|U0019|M00854|Cinema|Friends|Neutral|0.38
24|2025-01-25|Winter|Saturday|Evening|U0064|M05198|Workplace|Friends|Neutral|0.56
24|2025-01-25|Winter|Saturday|Night|U0071|M03311|Community Center|Alone|Neutral|0.41
24|2025-01-25|Winter|Saturday|Afternoon|U0075|M05264|Community Center|Alone|Sad|0.39
24|2025-01-25|Winter|Saturday|Morning|U0085|M04450|Community Center|Group|Happy|0.76
24|2025-01-25|Winter|Saturday|Evening|U0088|M00336|Home|Friends|Sad|0.47
25|2025-01-26|Winter|Sunday|Afternoon|U0013|M05318|Cinema|Partner|Neutral|0.51
25|2025-01-26|Winter|Sunday|Afternoon|U0015|M05113|Workplace|Friends|Sad|0.59
25|2025-01-26|Winter|Sunday|Night|U0017|M04154|Home|Family|Neutral|0.41
25|2025-01-26|Winter|Sunday|Morning|U0025|M03857|Workplace|Alone|Neutral|0.61
25|2025-01-26|Winter|Sunday|Afternoon|U0026|M04648|Cinema|Partner|Happy|0.63
25|2025-01-26|Winter|Sunday|Morning|U0036|M02656|Community Center|Partner|Sad|0.5
25|2025-01-26|Winter|Sunday|Morning|U0061|M00482|Community Center|Alone|Sad|0.56
25|2025-01-26|Winter|Sunday|Morning|U0075|M02916|Workplace|Partner|Happy|0.55
25|2025-01-26|Winter|Sunday|Morning|U0084|M03888|Home|Friends|Sad|0.71
25|2025-01-26|Winter|Sunday|Evening|U0088|M03829|Public Transportation|Friends|Neutral|0.5
25|2025-01-26|Winter|Sunday|Afternoon|U0090|M04194|Home|Alone|Happy|0.54
25|2025-01-26|Winter|Sunday|Morning|U0092|M03928|Workplace|Alone|Sad|0.36
25|2025-01-26|Winter|Sunday|Evening|U0097|M00068|Cinema|Family|Neutral|0.5
26|2025-01-27|Winter|Monday|Evening|U0015|M05489|Public Transportation|Friends|Neutral|0.64
26|2025-01-27|Winter|Monday|Morning|U0029|M04723|Public Transportation|Alone|Happy|0.66
26|2025-01-27|Winter|Monday|Evening|U0053|M01034|Cinema|Alone|Happy|0.39
26|2025-01-27|Winter|Monday|Night|U0059|M02445|Community Center|Partner|Sad|0.58
26|2025-01-27|Winter|Monday|Morning|U0070|M01298|Workplace|Alone|Happy|0.62
26|2025-01-27|Winter|Monday|Evening|U0078|M02249|Workplace|Friends|Neutral|0.51
26|2025-01-27|Winter|Monday|Afternoon|U0087|M02886|Cinema|Group|Happy|0.51
26|2025-01-27|Winter|Monday|Morning|U0090|M05669|Workplace|Partner|Happy|0.44
26|2025-01-27|Winter|Monday|Night|U0093|M04279|Workplace|Partner|Sad|0.62
26|2025-01-27|Winter|Monday|Evening|U0095|M00237|Public Transportation|Group|Neutral|0.39
26|2025-01-27|Winter|Monday|Morning|U0096|M02948|Public Transportation|Partner|Neutral|0.59
27|2025-01-28|Winter|Tuesday|Afternoon|U0013|M01030|Community Center|Family|Happy|0.53
27|2025-01-28|Winter|Tuesday|Evening|U0014|M02389|Public Transportation|Friends|Happy|0.51
27|2025-01-28|Winter|Tuesday|Morning|U0051|M03038|Workplace|Alone|Neutral|0.36
27|2025-01-28|Winter|Tuesday|Afternoon|U0059|M02545|Workplace|Partner|Happy|0.64
27|2025-01-28|Winter|Tuesday|Night|U0088|M00472|Cinema|Alone|Happy|0.62
28|2025-01-29|Winter|Wednesday|Afternoon|U0013|M03672|Home|Family|Sad|0.45
28|2025-01-29|Winter|Wednesday|Evening|U0014|M04506|Public Transportation|Partner|Happy|0.51
28|2025-01-29|Winter|Wednesday|Afternoon|U0019|M05167|Cinema|Friends|Happy|0.45
28|2025-01-29|Winter|Wednesday|Afternoon|U0024|M04874|Community Center|Group|Happy|0.51
28|2025-01-29|Winter|Wednesday|Night|U0026|M01302|Public Transportation|Family|Neutral|0.51
28|2025-01-29|Winter|Wednesday|Evening|U0037|M03976|Community Center|Group|Neutral|0.51
28|2025-01-29|Winter|Wednesday|Afternoon|U0043|M01885|Public Transportation|Partner|Happy|0.69
28|2025-01-29|Winter|Wednesday|Afternoon|U0046|M05436|Workplace|Family|Sad|0.5
28|2025-01-29|Winter|Wednesday|Afternoon|U0057|M02932|Public Transportation|Family|Neutral|0.42
28|2025-01-29|Winter|Wednesday|Afternoon|U0075|M04536|Workplace|Friends|Happy|0.33
29|2025-01-30|Winter|Thursday|Evening|U0038|M05395|Public Transportation|Partner|Neutral|0.54
29|2025-01-30|Winter|Thursday|Night|U0046|M01957|Home|Family|Sad|0.46
29|2025-01-30|Winter|Thursday|Morning|U0050|M04173|Cinema|Partner|Happy|0.55
29|2025-01-30|Winter|Thursday|Morning|U0053|M01432|Home|Partner|Happy|0.53
29|2025-01-30|Winter|Thursday|Afternoon|U0063|M01444|Public Transportation|Alone|Sad|0.44
29|2025-01-30|Winter|Thursday|Afternoon|U0065|M00600|Workplace|Friends|Neutral|0.5
29|2025-01-30|Winter|Thursday|Afternoon|U0075|M04700|Cinema|Alone|Sad|0.24
29|2025-01-30|Winter|Thursday|Morning|U0079|M01973|Cinema|Partner|Happy|0.31
29|2025-01-30|Winter|Thursday|Night|U0088|M00044|Cinema|Friends|Sad|0.72
30|2025-01-31|Winter|Friday|Morning|U0003|M04946|Cinema|Partner|Neutral|0.44
30|2025-01-31|Winter|Friday|Night|U0005|M05029|Home|Alone|Neutral|0.5
30|2025-01-31|Winter|Friday|Afternoon|U0007|M01062|Home|Alone|Neutral|0.7
30|2025-01-31|Winter|Friday|Morning|U0044|M00998|Community Center|Family|Sad|0.44
30|2025-01-31|Winter|Friday|Morning|U0084|M03257|Home|Partner|Sad|0.24
30|2025-01-31|Winter|Friday|Night|U0085|M04244|Cinema|Friends|Happy|0.63
30|2025-01-31|Winter|Friday|Evening|U0091|M02749|Home|Family|Sad|0.4
30|2025-01-31|Winter|Friday|Evening|U0095|M02733|Public Transportation|Partner|Neutral|0.49
31|2025-02-01|Winter|Saturday|Night|U0008|M00586|Home|Partner|Happy|0.72
31|2025-02-01|Winter|Saturday|Night|U0021|M04156|Community Center|Alone|Sad|0.59
31|2025-02-01|Winter|Saturday|Night|U0031|M02742|Public Transportation|Partner|Happy|0.51
31|2025-02-01|Winter|Saturday|Evening|U0055|M05533|Workplace|Alone|Happy|0.44
31|2025-02-01|Winter|Saturday|Afternoon|U0057|M03628|Public Transportation|Friends|Neutral|0.48
31|2025-02-01|Winter|Saturday|Morning|U0074|M04477|Cinema|Partner|Neutral|0.51
31|2025-02-01|Winter|Saturday|Afternoon|U0075|M01271|Workplace|Group|Sad|0.35
31|2025-02-01|Winter|Saturday|Night|U0078|M00363|Workplace|Friends|Sad|0.38
31|2025-02-01|Winter|Saturday|Morning|U0090|M03395|Workplace|Group|Happy|0.55
31|2025-02-01|Winter|Saturday|Afternoon|U0092|M03870|Workplace|Friends|Happy|0.54
31|2025-02-01|Winter|Saturday|Morning|U0100|M02754|Home|Alone|Sad|0.58
32|2025-02-02|Winter|Sunday|Night|U0005|M05164|Cinema|Alone|Happy|0.65
32|2025-02-02|Winter|Sunday|Afternoon|U0007|M02905|Cinema|Family|Sad|0.58
32|2025-02-02|Winter|Sunday|Morning|U0020|M03342|Home|Friends|Neutral|0.61
32|2025-02-02|Winter|Sunday|Night|U0042|M01482|Community Center|Family|Sad|0.45
32|2025-02-02|Winter|Sunday|Morning|U0061|M00348|Workplace|Alone|Happy|0.64
32|2025-02-02|Winter|Sunday|Evening|U0064|M02603|Cinema|Friends|Sad|0.47
32|2025-02-02|Winter|Sunday|Evening|U0065|M01150|Workplace|Partner|Sad|0.54
32|2025-02-02|Winter|Sunday|Evening|U0095|M02693|Home|Friends|Sad|0.19
33|2025-02-03|Winter|Monday|Evening|U0014|M01694|Workplace|Partner|Happy|0.45
33|2025-02-03|Winter|Monday|Morning|U0051|M03305|Community Center|Family|Happy|0.31
33|2025-02-03|Winter|Monday|Morning|U0056|M05729|Workplace|Group|Sad|0.5
33|2025-02-03|Winter|Monday|Night|U0078|M01373|Public Transportation|Partner|Happy|0.55
33|2025-02-03|Winter|Monday|Afternoon|U0081|M00545|Home|Family|Sad|0.49
33|2025-02-03|Winter|Monday|Night|U0082|M04685|Public Transportation|Family|Neutral|0.62
33|2025-02-03|Winter|Monday|Morning|U0087|M01294|Cinema|Partner|Neutral|0.5
33|2025-02-03|Winter|Monday|Evening|U0088|M04501|Home|Friends|Neutral|0.51
33|2025-02-03|Winter|Monday|Morning|U0090|M00110|Workplace|Partner|Neutral|0.5
33|2025-02-03|Winter|Monday|Morning|U0095|M02851|Cinema|Group|Sad|0.18
34|2025-02-04|Winter|Tuesday|Afternoon|U0022|M03438|Public Transportation|Friends|Happy|0.55
